run_id;user_id;instance_id;sub_date;score
9641;1;4593;2017-10-09 04:27:44.745;6725
9641;1;4594;2017-10-09 04:27:44.745;6631
9641;1;4595;2017-10-09 04:27:44.745;6736
9641;1;4596;2017-10-09 04:27:44.745;6714
9641;1;4597;2017-10-09 04:27:44.745;6705
9641;1;4598;2017-10-09 04:27:44.745;10767
9641;1;4599;2017-10-09 04:27:44.745;11153
9641;1;4600;2017-10-09 04:27:44.745;26933
9641;1;4601;2017-10-09 04:27:44.745;27308
9641;1;4602;2017-10-09 04:27:44.745;27067
9641;1;4603;2017-10-09 04:27:44.745;11758
9641;1;4604;2017-10-09 04:27:44.745;27097
9643;1;4593;2017-10-09 06:16:23.417;7577
9643;1;4594;2017-10-09 06:16:23.417;7988
9643;1;4595;2017-10-09 06:16:23.417;7835
9643;1;4596;2017-10-09 06:16:23.417;7932
9643;1;4597;2017-10-09 06:16:23.417;8061
9643;1;4598;2017-10-09 06:16:23.417;12434
9643;1;4599;2017-10-09 06:16:23.417;12723
9643;1;4600;2017-10-09 06:16:23.417;30383
9643;1;4601;2017-10-09 06:16:23.417;31412
9643;1;4602;2017-10-09 06:16:23.417;30088
9643;1;4603;2017-10-09 06:16:23.417;13509
9643;1;4604;2017-10-09 06:16:23.417;30515
9644;1;4593;2017-10-09 06:37:07.49;7693
9644;1;4594;2017-10-09 06:37:07.49;7905
9644;1;4595;2017-10-09 06:37:07.49;7812
9644;1;4596;2017-10-09 06:37:07.49;8023
9644;1;4597;2017-10-09 06:37:07.49;7579
9644;1;4598;2017-10-09 06:37:07.49;12033
9644;1;4599;2017-10-09 06:37:07.49;12735
9644;1;4600;2017-10-09 06:37:07.49;30323
9644;1;4601;2017-10-09 06:37:07.49;30867
9644;1;4602;2017-10-09 06:37:07.49;30787
9644;1;4603;2017-10-09 06:37:07.49;13320
9644;1;4604;2017-10-09 06:37:07.49;30176
9646;1;4593;2017-10-09 06:42:31.235;6619
9646;1;4594;2017-10-09 06:42:31.235;6529
9646;1;4595;2017-10-09 06:42:31.235;6631
9646;1;4596;2017-10-09 06:42:31.235;6646
9646;1;4597;2017-10-09 06:42:31.235;6614
9646;1;4598;2017-10-09 06:42:31.235;10800
9646;1;4599;2017-10-09 06:42:31.235;11094
9646;1;4600;2017-10-09 06:42:31.235;26727
9646;1;4601;2017-10-09 06:42:31.235;27229
9646;1;4602;2017-10-09 06:42:31.235;27032
9646;1;4603;2017-10-09 06:42:31.235;11695
9646;1;4604;2017-10-09 06:42:31.235;27030
9647;1;4593;2017-10-09 09:56:15.274;6792
9647;1;4594;2017-10-09 09:56:15.274;6641
9647;1;4595;2017-10-09 09:56:15.274;6751
9647;1;4596;2017-10-09 09:56:15.274;6733
9647;1;4597;2017-10-09 09:56:15.274;6718
9647;1;4598;2017-10-09 09:56:15.274;10861
9647;1;4599;2017-10-09 09:56:15.274;11272
9647;1;4600;2017-10-09 09:56:15.274;26945
9647;1;4601;2017-10-09 09:56:15.274;27298
9647;1;4602;2017-10-09 09:56:15.274;27032
9647;1;4603;2017-10-09 09:56:15.274;11709
9647;1;4604;2017-10-09 09:56:15.274;27123
10721;1;4593;2017-12-21 12:54:58.729;6767
10721;1;4594;2017-12-21 12:54:58.729;6604
10721;1;4595;2017-12-21 12:54:58.729;6728
10721;1;4596;2017-12-21 12:54:58.729;6660
10721;1;4597;2017-12-21 12:54:58.729;6705
10721;1;4598;2017-12-21 12:54:58.729;10810
10721;1;4599;2017-12-21 12:54:58.729;11184
10721;1;4600;2017-12-21 12:54:58.729;26976
10721;1;4601;2017-12-21 12:54:58.729;27269
10721;1;4602;2017-12-21 12:54:58.729;27055
10721;1;4603;2017-12-21 12:54:58.729;11739
10721;1;4604;2017-12-21 12:54:58.729;27110
10730;1;4593;2017-12-21 16:17:46.665;6798
10730;1;4594;2017-12-21 16:17:46.665;6633
10730;1;4595;2017-12-21 16:17:46.665;6742
10730;1;4596;2017-12-21 16:17:46.665;6800
10730;1;4597;2017-12-21 16:17:46.665;6765
10730;1;4598;2017-12-21 16:17:46.665;10803
10730;1;4599;2017-12-21 16:17:46.665;11153
10730;1;4600;2017-12-21 16:17:46.665;26978
10730;1;4601;2017-12-21 16:17:46.665;27300
10730;1;4602;2017-12-21 16:17:46.665;27088
10730;1;4603;2017-12-21 16:17:46.665;11721
10730;1;4604;2017-12-21 16:17:46.665;27190
10735;1;4593;2017-12-21 17:10:23.918;6733
10735;1;4594;2017-12-21 17:10:23.918;6616
10735;1;4595;2017-12-21 17:10:23.918;6727
10735;1;4596;2017-12-21 17:10:23.918;6744
10735;1;4597;2017-12-21 17:10:23.918;6757
